target,n_authors,threshold,balanced_accuracy,f1,minority_precision,minority_recall,roc_auc,average_precision,raw_accuracy,positive_rate_pred,positive_rate_true,model_id,split,model_name
target_J,1563,0.595,0.5896207062781419,0.467697907188353,0.5376569037656904,0.4138486312399356,0.6256807901781594,0.5313754757156652,0.6257197696737045,0.3058221369161868,0.3973128598848368,frozen_text_mean_std,test,Frozen Text
target_E,1562,0.5499999999999999,0.6219685918628148,0.4095238095238095,0.3392504930966469,0.5165165165165165,0.6679103839396761,0.3685363809122507,0.6824583866837388,0.324583866837388,0.2131882202304737,frozen_text_real_emotion,val,Frozen Text + Real Emotion
target_S,1562,0.195,0.6207078811961892,0.1845730027548209,0.1084142394822006,0.6203703703703703,0.6304447501146262,0.1079773829378345,0.6209987195902689,0.3956466069142125,0.0691421254801536,frozen_text_real_emotion,val,Frozen Text + Real Emotion
target_T,1562,0.4399999999999999,0.7121280016419238,0.6699857752489331,0.6007653061224489,0.7572347266881029,0.7690736813299585,0.6752069414195929,0.7029449423815621,0.5019206145966709,0.3982074263764404,frozen_text_real_emotion,val,Frozen Text + Real Emotion
target_J,1562,0.5049999999999999,0.5970538759431242,0.5241057542768274,0.5067669172932331,0.5426731078904992,0.6247696201491886,0.5240329859677444,0.6081946222791293,0.4257362355953905,0.3975672215108835,frozen_text_real_emotion,val,Frozen Text + Real Emotion
target_E,1563,0.5499999999999999,0.6516093118888342,0.4480600750938673,0.3849462365591398,0.5359281437125748,0.7043480167411312,0.3980594997616233,0.7178502879078695,0.2975047984644913,0.2136916186820217,frozen_text_real_emotion,test,Frozen Text + Real Emotion
target_S,1563,0.195,0.5763374485596708,0.1564245810055866,0.0916530278232405,0.5333333333333333,0.6186752890456594,0.1093965218795218,0.6135636596289188,0.3909149072296865,0.0671785028790787,frozen_text_real_emotion,test,Frozen Text + Real Emotion
target_T,1563,0.4399999999999999,0.6807004318081582,0.6340057636887608,0.5736636245110821,0.7085346215780999,0.745937481837048,0.6354695963436153,0.6749840051183621,0.490722968650032,0.3973128598848368,frozen_text_real_emotion,test,Frozen Text + Real Emotion
target_J,1563,0.5049999999999999,0.5844282388176046,0.5100775193798449,0.491778774289985,0.5297906602254429,0.6261047348465423,0.533695435665581,0.5956493921944978,0.4280230326295585,0.3973128598848368,frozen_text_real_emotion,test,Frozen Text + Real Emotion
target_E,1562,0.5149999999999999,0.6241200517034529,0.4130190796857463,0.3297491039426523,0.5525525525525525,0.6683379881101605,0.3667326941217262,0.6651728553137004,0.3572343149807938,0.2131882202304737,frozen_text_real_emotion_controls,val,Frozen Text + Real Emotion + Controls
